IDS_perfil,Ids_relacionamentos,IDS_perfil,
370,A1,253,
371,A1,253,
372,A1,253,
373,A1,253,
374,A1,253,
375,A1,253,
376,A1,253,
39,A1,253,
307,A1,253,
377,A1,253,
378,A1,253,
379,A2,253,
39,A1,328,
117,A1,328,
380,A1,328,
72,A1,328,
381,A1,328,
382,A1,328,
383,A1,328,
384,A1,328,
320,A1,328,
190,A1,328,
385,A1,358,
386,A1,358,
387,A1,358,
388,A1,358,
389,A1,358,
190,A1,358,
350,A1,358,
390,A1,358,
391,A1,358,
392,A1,358,
393,A1,358,
394,A1,358,
395,A1,358,
396,A1,358,
397,A1,358,
398,A1,358,
399,A1,358,
400,A1,358,
401,A1,358,
402,A1,358,
403,A1,358,
404,A1,358,
405,A1,369,
406,A1,369,
407,A1,369,
177,A1,369,
408,A1,369,
409,A1,369,
410,A1,369,
383,A1,369,
282,A1,369,
411,A1,369,
412,A1,369,
411,A2,369,
282,A2,369,
413,A2,369,
415,A1,414,
416,A1,414,
72,A1,414,
417,A1,414,
418,A1,414,
419,A1,414,
420,A1,414,
421,A1,414,
360,A1,414,
62,A1,414,
39,A1,414,
422,A1,414,
423,A1,414,
424,A1,414,
191,A1,414,
425,A1,414,
426,A1,414,
427,A1,414,
203,A1,414,
62,A1,414,
173,A1,414,
428,A1,414,
372,A1,429,
430,A1,429,
431,A1,429,
432,A1,429,
70,A1,429,
433,A1,429,
434,A1,429,
435,A1,429,
436,A1,429,
437,A1,429,
438,A1,429,
39,A1,429,
439,A1,429,
440,A1,429,
441,A1,429,
442,A1,429,
443,A1,429,
444,A1,429,
445,A1,429,
446,A1,429,
447,A1,429,
448,A1,429,
449,A1,429,
450,A1,429,
451,A1,429,
352,A1,429,
452,A1,429,
453,A1,429,
454,A1,429,
455,A1,429,
456,A1,429,
457,A1,429,
458,A1,429,
372,A1,429,
430,A1,429,
431,A1,429,
432,A1,429,
70,A1,429,
433,A1,429,
459,A2,429,
365,A2,429,
460,A2,429,
461,A2,429,
71,A2,429,
